"","year","commonName","sys_loc_code","facility","facility_code","perc_detected","LATITUDE","LONGITUDE"
"148",2005,"PFOS","257859","3M Chemolite / Cottage Grove","SR0000033",1,44.919332,-92.87381
"149",2005,"PFOS","257864","East Metro PFAS","SR0001491",0,44.996043,-92.982911
"150",2005,"PFOS","257932","East Metro PFAS","SR0001491",0,44.996304,-92.983659
"151",2005,"PFOS","257933","East Metro PFAS","SR0001491",0,44.998555,-92.983278
"152",2005,"PFOS","257935","East Metro PFAS","SR0001491",0,44.996115,-92.981616
"153",2005,"PFOS","257972","East Metro PFAS","SR0001491",0,44.996391,-92.944887
"154",2005,"PFOS","257976","East Metro PFAS","SR0001491",0,44.997997,-92.983405
"155",2005,"PFOS","271978","East Metro PFAS","SR0001491",0,44.978481,-92.934492
"156",2005,"PFOS","506893","Pigs Eye Landfill","SR0000117",1,44.927381,-93.034175
"157",2005,"PFOS","547868","Pigs Eye Landfill","SR0000117",0,44.927164,-93.034808
"158",2005,"PFOS","547878","Pigs Eye Landfill","SR0000117",0,44.929561,-93.028069
"159",2005,"PFOS","575148","East Metro PFAS","SR0001491",0,44.989747,-92.943524
"160",2005,"PFOS","597116","East Metro PFAS","SR0001491",0,44.97996,-92.937863
"161",2005,"PFOS","599966","East Metro PFAS","SR0001491",0,44.980849,-92.936125
"162",2005,"PFOS","615494","East Metro PFAS","SR0001491",0,44.975417,-92.929701
"163",2005,"PFOS","616663","East Metro PFAS","SR0001491",0,44.979189,-92.937118
"164",2005,"PFOS","623865","East Metro PFAS","SR0001491",0,44.976449,-92.929961
"165",2005,"PFOS","628276","East Metro PFAS","SR0001491",0,44.977164,-92.930079
"166",2005,"PFOS","628279","East Metro PFAS","SR0001491",0,44.975805,-92.930284
"167",2005,"PFOS","633266","East Metro PFAS","SR0001491",0,44.977138,-92.930878
"168",2005,"PFOS","633269","East Metro PFAS","SR0001491",0,44.977246,-92.931322
"169",2005,"PFOS","633276","East Metro PFAS","SR0001491",0,44.975714,-92.929637
"170",2005,"PFOS","641705","East Metro PFAS","SR0001491",0,44.980165,-92.935022
"171",2005,"PFOS","645610","East Metro PFAS","SR0001491",0,44.976201,-92.929751
"172",2005,"PFOS","658960","East Metro PFAS","SR0001491",0,44.974534,-92.92813
"173",2005,"PFOS","658982","East Metro PFAS","SR0001491",0,44.977136,-92.928355
"174",2005,"PFOS","672580","East Metro PFAS","SR0001491",0,44.974606,-92.927609
"175",2005,"PFOS","699705","Pigs Eye Landfill","SR0000117",0,44.927092,-93.034808
"176",2005,"PFOS","699707","Pigs Eye Landfill","SR0000117",0,44.927128,-93.034808
"177",2005,"PFOS","699709","Pigs Eye Landfill","SR0000117",0,44.928147,-93.030831
"178",2005,"PFOS","699711","Pigs Eye Landfill","SR0000117",1,44.928183,-93.030831
"179",2005,"PFOS","699712","Pigs Eye Landfill","SR0000117",0,44.928643,-93.030071
"180",2005,"PFOS","699713","Pigs Eye Landfill","SR0000117",0,44.928634,-93.03016
"181",2005,"PFOS","MNPCAP17824","3M Chemolite / Cottage Grove","SR0000033",0,44.799345,-92.909118
"182",2005,"PFOS","MNPCAP17825","3M Chemolite / Cottage Grove","SR0000033",1,44.787651,-92.905002
"183",2005,"PFOS","MNPCAP17826","3M Chemolite / Cottage Grove","SR0000033",0.333333333333333,44.79026,-92.920244
"184",2005,"PFOS","MNPCAP17827","3M Chemolite / Cottage Grove","SR0000033",1,44.790553,-92.922571
"185",2005,"PFOS","MNPCAP17828","3M Chemolite / Cottage Grove","SR0000033",0.333333333333333,44.790377,-92.913504
"186",2005,"PFOS","MNPCAP17829","3M Chemolite / Cottage Grove","SR0000033",1,44.789521,-92.911913
"187",2005,"PFOS","MNPCAP17830","3M Chemolite / Cottage Grove","SR0000033",1,44.792068,-92.911694
"188",2005,"PFOS","MNPCAP17831","3M Chemolite / Cottage Grove","SR0000033",0,44.794356,-92.913638
"189",2005,"PFOS","MNPCAP17832","3M Chemolite / Cottage Grove","SR0000033",0,44.792198,-92.916422
"190",2005,"PFOS","MNPCAP17833","3M Chemolite / Cottage Grove","SR0000033",1,44.785868,-92.914699
"191",2005,"PFOS","MNPCAP17834","3M Chemolite / Cottage Grove","SR0000033",1,44.785839,-92.912171
"192",2005,"PFOS","MNPCAP17835","3M Chemolite / Cottage Grove","SR0000033",0,44.79415,-92.914763
"193",2005,"PFOS","MNPCAP17838","3M Chemolite / Cottage Grove","SR0000033",1,44.785503,-92.898355
"194",2005,"PFOS","MNPCAP17839","3M Chemolite / Cottage Grove","SR0000033",1,44.78589,-92.897963
"195",2005,"PFOS","MNPCAP17847","3M Chemolite / Cottage Grove","SR0000033",1,44.788502,-92.909993
"196",2005,"PFOS","MNPCAP17852","3M Chemolite / Cottage Grove","SR0000033",1,44.785666,-92.909896
"197",2005,"PFOS","MNPCAP17853","3M Chemolite / Cottage Grove","SR0000033",1,44.785557,-92.908392
"198",2005,"PFOS","MNPCAP17854","3M Chemolite / Cottage Grove","SR0000033",1,44.790407,-92.917764
"199",2005,"PFOS","MNPCAP17855","3M Chemolite / Cottage Grove","SR0000033",1,44.791379,-92.917965
"200",2005,"PFOS","MNPCAP17862","3M Chemolite / Cottage Grove","SR0000033",1,44.786534,-92.914749
"201",2005,"PFOS","MNPCAP17865","3M Woodbury","SR0000365",0,44.787651,-92.905001
"202",2005,"PFOS","MNPCAP17870","3M Woodbury","SR0000365",0,44.862196,-92.901511
"203",2005,"PFOS","MNPCAP17875","3M Woodbury","SR0000365",0.111111111111111,44.86423,-92.901039
"204",2005,"PFOS","MNPCAP17879","3M Woodbury","SR0000365",0.1,44.858864,-92.900783
"205",2005,"PFOS","MNPCAP17881","3M Woodbury","SR0000365",0.3,44.862167,-92.899904
"206",2006,"PFBA","231876","3M Woodbury","SR0000365",0.5,44.858864,-92.900783
"207",2006,"PFBA","233141","3M Woodbury","SR0000365",0,44.86423,-92.901039
"208",2006,"PFBA","233555","3M Woodbury","SR0000365",0,44.862196,-92.901511
"209",2006,"PFBA","233556","3M Woodbury","SR0000365",0.5,44.862167,-92.899904
"210",2006,"PFBA","257282","East Metro PFAS","SR0001491",1,44.992993,-92.921269
"211",2006,"PFBA","257842","East Metro PFAS","SR0001491",1,44.965144,-92.913952
"212",2006,"PFBA","257864","East Metro PFAS","SR0001491",0,44.996043,-92.982911
"213",2006,"PFBA","257932","East Metro PFAS","SR0001491",0,44.996304,-92.983659
"214",2006,"PFBA","257933","East Metro PFAS","SR0001491",0,44.998555,-92.983278
"215",2006,"PFBA","257935","East Metro PFAS","SR0001491",0,44.996115,-92.981616
"216",2006,"PFBA","257952","East Metro PFAS","SR0001491",1,44.996292,-92.968523
"217",2006,"PFBA","257957","East Metro PFAS","SR0001491",1,44.998111,-92.970222
"218",2006,"PFBA","257963","East Metro PFAS","SR0001491",1,44.994698,-92.965733
"219",2006,"PFBA","257966","East Metro PFAS","SR0001491",1,44.996275,-92.970706
"220",2006,"PFBA","257976","East Metro PFAS","SR0001491",0,44.997997,-92.983405
"221",2006,"PFBA","270045","East Metro PFAS","SR0001491",1,44.986873,-92.957962
"222",2006,"PFBA","271978","East Metro PFAS","SR0001491",1,44.978481,-92.934492
"223",2006,"PFBA","447245","East Metro PFAS","SR0001491",1,44.964125,-92.924072
"224",2006,"PFBA","501657","Pigs Eye Landfill","SR0000117",1,44.930161,-93.035633
"225",2006,"PFBA","506893","Pigs Eye Landfill","SR0000117",1,44.927381,-93.034175
"226",2006,"PFBA","511651","East Metro PFAS","SR0001491",0,44.96933,-92.925904
"227",2006,"PFBA","547878","Pigs Eye Landfill","SR0000117",1,44.929561,-93.028069
"228",2006,"PFBA","573601","East Metro PFAS","SR0001491",1,44.980084,-92.93657
"229",2006,"PFBA","575148","East Metro PFAS","SR0001491",1,44.989747,-92.943524
"230",2006,"PFBA","590078","East Metro PFAS","SR0001491",1,44.978791,-92.94096
"231",2006,"PFBA","597116","East Metro PFAS","SR0001491",1,44.97996,-92.937863
"232",2006,"PFBA","599966","East Metro PFAS","SR0001491",1,44.980849,-92.936125
"233",2006,"PFBA","599976","East Metro PFAS","SR0001491",1,44.962677,-92.913144
